Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
315c96c26c9aac,de04010b3458dd,6dc8ff871e21e6,0,0,100.0000,0,0,0,45,0,1,1,58.5300,1424,solo-fpp,97,95,1560,0,0.0000,0,0.0000,0,0,49.7500,2,0,0.1875
311b84c6ff4390,eaba5fcb7fc1ae,292611730ca862,0,0,8.5380,0,0,0,48,1000,0,0,0.0000,1967,solo-fpp,96,92,-1,0,2004.0000,0,0.0000,0,0,1089.0000,6,1500,0.7368
b7807186e3f679,3c08e461874749,2c30ddf481c52d,0,1,324.2000,0,1,5,5,986,4,1,49.8300,1886,solo-fpp,97,94,-1,0,1228.0000,0,76.8400,0,0,2050.0000,6,1462,0.8750
92022479b92ce7,2f2c33f548c4b9,07948d723b9c0f,0,3,254.3000,0,0,12,13,0,2,1,36.0000,1371,solo-fpp,96,95,1536,0,2367.0000,0,15.2900,0,0,1787.0000,3,0,0.8211
47143f942503e0,e17a8867a393ec,bc2faecb77e5ec,0,0,136.9000,0,0,0,37,0,1,1,22.8300,1425,solo-fpp,96,94,1500,0,0.0000,0,0.0000,0,0,270.7000,1,0,0.3474
0ba4529562941c,2e8fb650e28957,f7cb7612b6b768,0,0,194.5000,0,1,1,19,0,2,1,29.0800,2067,solo-fpp,96,94,1460,0,0.0000,0,0.0000,0,0,248.6000,5,0,0.2947
d551381427e157,39d3a3acbe38d7,5a5d23025129e2,0,2,100.0000,0,1,2,29,0,1,1,21.8600,1959,solo-fpp,95,93,1698,0,0.0000,0,0.0000,0,0,1606.0000,5,0,0.6809
677089d4226510,2cf8fb44c49cf4,06f853dab32a20,0,0,46.4100,0,0,0,81,0,0,0,0.0000,1493,solo-fpp,95,94,1499,0,0.0000,0,0.0000,0,0,50.8200,1,0,0.1489
707550186fd7f7,82f350bdba9e4e,7932e2acfa4c4c,1,6,604.7000,0,2,7,4,0,5,1,99.2300,1465,solo-fpp,93,92,1543,0,0.0000,0,0.0000,0,0,1766.0000,2,0,0.9891
cfa11f07d80695,1a4ffd9d6d597f,4563c0409f9115,0,3,76.4400,0,0,2,50,0,0,0,0.0000,1441,solo-fpp,95,95,1560,0,1054.0000,0,0.0000,0,0,1542.0000,2,0,0.8830
de93ba20446980,29276739992710,7456e2eaa324a2,0,0,19.3500,0,0,0,96,0,0,0,0.0000,1923,solo-fpp,96,89,1500,0,0.0000,0,0.0000,0,0,20.3400,1,0,0.0000
be91dbb39a9248,9e4388a175f6eb,f942817d155e51,0,0,0.0000,0,0,0,58,0,0,0,0.0000,1356,solo-fpp,96,93,1494,0,0.0000,0,0.0000,0,0,855.1000,3,0,0.6526
e38796a3b026fb,496a9851ffb961,ce63db1f3307af,0,1,22.0500,0,0,0,65,0,0,0,0.0000,1290,solo-fpp,96,94,1547,0,0.0000,0,0.0000,0,0,148.2000,2,0,0.4105
2a380e25c242d5,2edeff8e6a0405,0c7b191ecec1fb,0,1,161.8000,0,0,0,15,1004,2,1,52.7500,1349,solo-fpp,94,93,0,0,0.0000,0,0.0000,0,0,536.9000,6,1495,0.6667
